censo,departamento,grupo_edad,hombres,mujeres,total_poblacion
2017,Amazonas,0-4,19489,19193,38682
2017,Amazonas,10-14,20856,20260,41116
2017,Amazonas,15-19,16869,16356,33225
2017,Amazonas,20-24,13330,14366,27696
2017,Amazonas,25-29,13513,14271,27784
2017,Amazonas,30-34,13629,14113,27742
2017,Amazonas,35-39,12939,12677,25616
2017,Amazonas,40-44,11740,11315,23055
2017,Amazonas,45-49,10703,10054,20757
2017,Amazonas,5-9,21476,21033,42509
2017,Amazonas,50-54,9171,8530,17701
2017,Amazonas,55-59,7531,6670,14201
2017,Amazonas,60-64,6091,5529,11620
2017,Amazonas,65-69,4598,4115,8713
2017,Amazonas,70-74,3489,3451,6940
2017,Amazonas,75-79,2795,2627,5422
2017,Amazonas,80-84,1792,1947,3739
2017,Amazonas,85-89,824,1052,1876
2017,Amazonas,90-94,339,409,748
2017,Amazonas,95+,101,141,242
2017,Ancash,0-4,47200,45774,92974
2017,Ancash,10-14,50560,49105,99665
2017,Ancash,15-19,44910,44023,88933
2017,Ancash,20-24,41452,42612,84064
2017,Ancash,25-29,38792,40936,79728
2017,Ancash,30-34,37902,39934,77836
2017,Ancash,35-39,36458,38163,74621
2017,Ancash,40-44,34723,35961,70684
2017,Ancash,45-49,31500,32593,64093
2017,Ancash,5-9,50431,49119,99550
2017,Ancash,50-54,27709,28958,56667
2017,Ancash,55-59,23040,24403,47443
2017,Ancash,60-64,18568,20323,38891
2017,Ancash,65-69,15779,16983,32762
2017,Ancash,70-74,13312,14355,27667
2017,Ancash,75-79,10211,11568,21779
2017,Ancash,80-84,6873,7914,14787
2017,Ancash,85-89,3237,4371,7608
2017,Ancash,90-94,1118,1710,2828
2017,Ancash,95+,326,613,939
2017,Apurimac,0-4,18226,17451,35677
2017,Apurimac,10-14,22101,21495,43596
2017,Apurimac,15-19,17780,17212,34992
2017,Apurimac,20-24,15720,16345,32065
2017,Apurimac,25-29,15083,15719,30802
2017,Apurimac,30-34,14040,14334,28374
2017,Apurimac,35-39,13367,13461,26828
2017,Apurimac,40-44,12693,12522,25215
2017,Apurimac,45-49,11207,11156,22363
2017,Apurimac,5-9,19101,18928,38029
2017,Apurimac,50-54,10016,10055,20071
2017,Apurimac,55-59,8281,8259,16540
2017,Apurimac,60-64,6287,6692,12979
2017,Apurimac,65-69,5202,5877,11079
2017,Apurimac,70-74,4556,5383,9939
2017,Apurimac,75-79,3458,4404,7862
2017,Apurimac,80-84,2039,2957,4996
2017,Apurimac,85-89,1125,1726,2851
2017,Apurimac,90-94,369,667,1036
2017,Apurimac,95+,150,315,465
2017,Arequipa,0-4,55802,53969,109771
2017,Arequipa,10-14,53834,52222,106056
2017,Arequipa,15-19,55286,54322,109608
2017,Arequipa,20-24,60764,61493,122257
2017,Arequipa,25-29,57382,60566,117948
2017,Arequipa,30-34,53437,57227,110664
2017,Arequipa,35-39,50331,54375,104706
2017,Arequipa,40-44,46624,50883,97507
2017,Arequipa,45-49,40191,44379,84570
2017,Arequipa,5-9,57388,54730,112118
2017,Arequipa,50-54,34640,38841,73481
2017,Arequipa,55-59,29632,32232,61864
2017,Arequipa,60-64,24239,26551,50790
2017,Arequipa,65-69,18842,20407,39249
2017,Arequipa,70-74,14819,15390,30209
2017,Arequipa,75-79,10553,11261,21814
2017,Arequipa,80-84,7466,8412,15878
2017,Arequipa,85-89,4124,5071,9195
2017,Arequipa,90-94,1677,2065,3742
2017,Arequipa,95+,520,783,1303
2017,Ayacucho,0-4,27802,26398,54200
2017,Ayacucho,10-14,32339,31619,63958
2017,Ayacucho,15-19,29448,28640,58088
2017,Ayacucho,20-24,25956,26323,52279
2017,Ayacucho,25-29,23323,23691,47014
2017,Ayacucho,30-34,22159,22340,44499
2017,Ayacucho,35-39,20750,21120,41870
2017,Ayacucho,40-44,18800,19313,38113
2017,Ayacucho,45-49,16133,16043,32176
2017,Ayacucho,5-9,29324,28545,57869
2017,Ayacucho,50-54,14136,15182,29318
2017,Ayacucho,55-59,11429,12105,23534
2017,Ayacucho,60-64,8992,10229,19221
2017,Ayacucho,65-69,7647,8866,16513
2017,Ayacucho,70-74,6276,7307,13583
2017,Ayacucho,75-79,4622,6036,10658
2017,Ayacucho,80-84,2975,4231,7206
2017,Ayacucho,85-89,1552,2407,3959
2017,Ayacucho,90-94,496,1005,1501
2017,Ayacucho,95+,181,436,617
2017,Cajamarca,0-4,62490,60972,123462
2017,Cajamarca,10-14,69078,67516,136594
2017,Cajamarca,15-19,57159,55649,112808
2017,Cajamarca,20-24,47517,52221,99738
2017,Cajamarca,25-29,46639,51937,98576
2017,Cajamarca,30-34,48000,52504,100504
2017,Cajamarca,35-39,45685,48582,94267
2017,Cajamarca,40-44,41632,43786,85418
2017,Cajamarca,45-49,35920,38514,74434
2017,Cajamarca,5-9,68946,67026,135972
2017,Cajamarca,50-54,31490,33275,64765
2017,Cajamarca,55-59,26162,27791,53953
2017,Cajamarca,60-64,21307,22495,43802
2017,Cajamarca,65-69,17369,18486,35855
2017,Cajamarca,70-74,13904,14968,28872
2017,Cajamarca,75-79,10929,11968,22897
2017,Cajamarca,80-84,7618,8467,16085
2017,Cajamarca,85-89,3962,4710,8672
2017,Cajamarca,90-94,1417,1858,3275
2017,Cajamarca,95+,410,653,1063
2017,Callao,0-4,40359,38451,78810
2017,Callao,10-14,40672,39805,80477
2017,Callao,15-19,38601,38079,76680
2017,Callao,20-24,43232,43959,87191
2017,Callao,25-29,40292,42142,82434
2017,Callao,30-34,37563,40335,77898
2017,Callao,35-39,36332,39355,75687
2017,Callao,40-44,33651,36311,69962
2017,Callao,45-49,28969,31446,60415
2017,Callao,5-9,42626,41312,83938
2017,Callao,50-54,24787,27778,52565
2017,Callao,55-59,21188,24092,45280
2017,Callao,60-64,17817,20421,38238
2017,Callao,65-69,13874,15683,29557
2017,Callao,70-74,10272,11215,21487
2017,Callao,75-79,7170,7764,14934
2017,Callao,80-84,4699,5493,10192
2017,Callao,85-89,2534,3280,5814
2017,Callao,90-94,893,1365,2258
2017,Callao,95+,251,426,677
2017,Cusco,0-4,52027,49865,101892
2017,Cusco,10-14,59795,57858,117653
2017,Cusco,15-19,56160,55496,111656
2017,Cusco,20-24,50025,52228,102253
2017,Cusco,25-29,46262,48901,95163
2017,Cusco,30-34,44056,46153,90209
2017,Cusco,35-39,42089,43175,85264
2017,Cusco,40-44,38865,39464,78329
2017,Cusco,45-49,33693,35036,68729
2017,Cusco,5-9,54662,53129,107791
2017,Cusco,50-54,30738,31208,61946
2017,Cusco,55-59,25293,25544,50837
2017,Cusco,60-64,19438,20325,39763
2017,Cusco,65-69,15055,15893,30948
2017,Cusco,70-74,11542,12942,24484
2017,Cusco,75-79,8355,10062,18417
2017,Cusco,80-84,4994,6535,11529
2017,Cusco,85-89,2423,3511,5934
2017,Cusco,90-94,792,1213,2005
2017,Cusco,95+,261,464,725
2017,Huancavelica,0-4,16249,15466,31715
2017,Huancavelica,10-14,19957,19719,39676
2017,Huancavelica,15-19,17634,17671,35305
2017,Huancavelica,20-24,12895,13506,26401
2017,Huancavelica,25-29,10581,11992,22573
2017,Huancavelica,30-34,10863,11865,22728
2017,Huancavelica,35-39,10008,10887,20895
2017,Huancavelica,40-44,9343,10368,19711
2017,Huancavelica,45-49,8401,9213,17614
2017,Huancavelica,5-9,17270,16768,34038
2017,Huancavelica,50-54,8160,8855,17015
2017,Huancavelica,55-59,7116,7441,14557
2017,Huancavelica,60-64,5705,6356,12061
2017,Huancavelica,65-69,5037,5678,10715
2017,Huancavelica,70-74,3906,4760,8666
2017,Huancavelica,75-79,2772,3693,6465
2017,Huancavelica,80-84,1818,2511,4329
2017,Huancavelica,85-89,787,1358,2145
2017,Huancavelica,90-94,254,477,731
2017,Huancavelica,95+,86,213,299
2017,Huanuco,0-4,34637,33091,67728
2017,Huanuco,10-14,39414,38264,77678
2017,Huanuco,15-19,33762,33519,67281
2017,Huanuco,20-24,29480,31316,60796
2017,Huanuco,25-29,26436,27975,54411
2017,Huanuco,30-34,25633,26566,52199
2017,Huanuco,35-39,23747,24545,48292
2017,Huanuco,40-44,21073,22039,43112
2017,Huanuco,45-49,18285,19380,37665
2017,Huanuco,5-9,36250,35157,71407
2017,Huanuco,50-54,17006,17423,34429
2017,Huanuco,55-59,14350,14368,28718
2017,Huanuco,60-64,11092,11639,22731
2017,Huanuco,65-69,9076,9055,18131
2017,Huanuco,70-74,6883,7144,14027
2017,Huanuco,75-79,4926,5723,10649
2017,Huanuco,80-84,3119,3819,6938
2017,Huanuco,85-89,1449,1960,3409
2017,Huanuco,90-94,422,636,1058
