censo,departamento,grupo_edad,hombres,mujeres,total_poblacion
2007,Amazonas,0-4,23880,23034,46914
2007,Amazonas,10-14,24419,23411,47830
2007,Amazonas,15-19,19994,18117,38111
2007,Amazonas,20-24,15746,15228,30974
2007,Amazonas,25-29,14225,14032,28257
2007,Amazonas,30-34,12810,12190,25000
2007,Amazonas,35-39,12202,11760,23962
2007,Amazonas,40-44,10605,9506,20111
2007,Amazonas,45-49,8477,7730,16207
2007,Amazonas,5-9,24098,23388,47486
2007,Amazonas,50-54,6981,6190,13171
2007,Amazonas,55-59,5185,4575,9760
2007,Amazonas,60-64,4420,4051,8471
2007,Amazonas,65-69,3584,3193,6777
2007,Amazonas,70-74,2600,2565,5165
2007,Amazonas,75-79,1858,1819,3677
2007,Amazonas,80-84,992,1124,2116
2007,Amazonas,85-89,589,707,1296
2007,Amazonas,90-94,159,231,390
2007,Amazonas,95-99,116,202,318
2017,Amazonas,0-4,19489,19193,38682
2017,Amazonas,10-14,20856,20260,41116
2017,Amazonas,15-19,16869,16356,33225
2017,Amazonas,20-24,13330,14366,27696
2017,Amazonas,25-29,13513,14271,27784
2017,Amazonas,30-34,13629,14113,27742
2017,Amazonas,35-39,12939,12677,25616
2017,Amazonas,40-44,11740,11315,23055
2017,Amazonas,45-49,10703,10054,20757
2017,Amazonas,5-9,21476,21033,42509
2017,Amazonas,50-54,9171,8530,17701
2017,Amazonas,55-59,7531,6670,14201
2017,Amazonas,60-64,6091,5529,11620
2017,Amazonas,65-69,4598,4115,8713
2017,Amazonas,70-74,3489,3451,6940
2017,Amazonas,75-79,2795,2627,5422
2017,Amazonas,80-84,1792,1947,3739
2017,Amazonas,85-89,824,1052,1876
2017,Amazonas,90-94,339,409,748
2017,Amazonas,95+,101,141,242
2007,Ancash,0-4,53258,51084,104342
2007,Ancash,10-14,62408,60237,122645
2007,Ancash,15-19,53032,51250,104282
2007,Ancash,20-24,45232,44844,90076
2007,Ancash,25-29,40454,40970,81424
2007,Ancash,30-34,37146,38049,75195
2007,Ancash,35-39,34911,36301,71212
2007,Ancash,40-44,30810,31429,62239
2007,Ancash,45-49,25054,26391,51445
2007,Ancash,5-9,54752,53301,108053
2007,Ancash,50-54,20825,22756,43581
