departamento,grupo_edad,poblacion_2007,poblacion_2017,variacion_absoluta,variacion_pct,total_dpto_2007,total_dpto_2017,crecimiento_dpto_pct
Amazonas,0-4,46914,38682,-8232,-17.55,375993,379384,0.9
Amazonas,5-9,47486,42509,-4977,-10.48,375993,379384,0.9
Amazonas,10-14,47830,41116,-6714,-14.04,375993,379384,0.9
Amazonas,15-19,38111,33225,-4886,-12.82,375993,379384,0.9
Amazonas,20-24,30974,27696,-3278,-10.58,375993,379384,0.9
Amazonas,25-29,28257,27784,-473,-1.67,375993,379384,0.9
Amazonas,30-34,25000,27742,2742,10.97,375993,379384,0.9
Amazonas,35-39,23962,25616,1654,6.9,375993,379384,0.9
Amazonas,40-44,20111,23055,2944,14.64,375993,379384,0.9
Amazonas,45-49,16207,20757,4550,28.07,375993,379384,0.9
Amazonas,50-54,13171,17701,4530,34.39,375993,379384,0.9
Amazonas,55-59,9760,14201,4441,45.5,375993,379384,0.9
Amazonas,60-64,8471,11620,3149,37.17,375993,379384,0.9
Amazonas,65-69,6777,8713,1936,28.57,375993,379384,0.9
Amazonas,70-74,5165,6940,1775,34.37,375993,379384,0.9
Amazonas,75-79,3677,5422,1745,47.46,375993,379384,0.9
Amazonas,80-84,2116,3739,1623,76.7,375993,379384,0.9
Amazonas,85-89,1296,1876,580,44.75,375993,379384,0.9
Amazonas,90-94,390,748,358,91.79,375993,379384,0.9
Ancash,0-4,104342,92974,-11368,-10.89,1063459,1083519,1.89
Ancash,5-9,108053,99550,-8503,-7.87,1063459,1083519,1.89
Ancash,10-14,122645,99665,-22980,-18.74,1063459,1083519,1.89
Ancash,15-19,104282,88933,-15349,-14.72,1063459,1083519,1.89
Ancash,20-24,90076,84064,-6012,-6.67,1063459,1083519,1.89
Ancash,25-29,81424,79728,-1696,-2.08,1063459,1083519,1.89
Ancash,30-34,75195,77836,2641,3.51,1063459,1083519,1.89
Ancash,35-39,71212,74621,3409,4.79,1063459,1083519,1.89
Ancash,40-44,62239,70684,8445,13.57,1063459,1083519,1.89
Ancash,45-49,51445,64093,12648,24.59,1063459,1083519,1.89
Ancash,50-54,43581,56667,13086,30.03,1063459,1083519,1.89
Ancash,55-59,35716,47443,11727,32.83,1063459,1083519,1.89
Ancash,60-64,31655,38891,7236,22.86,1063459,1083519,1.89
Ancash,65-69,26646,32762,6116,22.95,1063459,1083519,1.89
Ancash,70-74,21449,27667,6218,28.99,1063459,1083519,1.89
Ancash,75-79,15728,21779,6051,38.47,1063459,1083519,1.89
Ancash,80-84,9346,14787,5441,58.22,1063459,1083519,1.89
Ancash,85-89,5316,7608,2292,43.12,1063459,1083519,1.89
Ancash,90-94,1827,2828,1001,54.79,1063459,1083519,1.89
Apurimac,0-4,46579,35677,-10902,-23.41,404190,405759,0.39
Apurimac,5-9,48858,38029,-10829,-22.16,404190,405759,0.39
Apurimac,10-14,56247,43596,-12651,-22.49,404190,405759,0.39
Apurimac,15-19,40776,34992,-5784,-14.18,404190,405759,0.39
Apurimac,20-24,28781,32065,3284,11.41,404190,405759,0.39
Apurimac,25-29,26622,30802,4180,15.7,404190,405759,0.39
Apurimac,30-34,25638,28374,2736,10.67,404190,405759,0.39
Apurimac,35-39,24436,26828,2392,9.79,404190,405759,0.39
Apurimac,40-44,21484,25215,3731,17.37,404190,405759,0.39
Apurimac,45-49,17792,22363,4571,25.69,404190,405759,0.39
Apurimac,50-54,14077,20071,5994,42.58,404190,405759,0.39
Apurimac,55-59,11644,16540,4896,42.05,404190,405759,0.39
Apurimac,60-64,10952,12979,2027,18.51,404190,405759,0.39
Apurimac,65-69,9694,11079,1385,14.29,404190,405759,0.39
Apurimac,70-74,7262,9939,2677,36.86,404190,405759,0.39
Apurimac,75-79,5818,7862,2044,35.13,404190,405759,0.39
Apurimac,80-84,3499,4996,1497,42.78,404190,405759,0.39
Apurimac,85-89,2307,2851,544,23.58,404190,405759,0.39
Apurimac,90-94,742,1036,294,39.62,404190,405759,0.39
Arequipa,0-4,97415,109771,12356,12.68,1152303,1382730,20.0
Arequipa,5-9,98061,112118,14057,14.33,1152303,1382730,20.0
Arequipa,10-14,109293,106056,-3237,-2.96,1152303,1382730,20.0
Arequipa,15-19,112455,109608,-2847,-2.53,1152303,1382730,20.0
Arequipa,20-24,110755,122257,11502,10.39,1152303,1382730,20.0
Arequipa,25-29,101411,117948,16537,16.31,1152303,1382730,20.0
Arequipa,30-34,92999,110664,17665,18.99,1152303,1382730,20.0
Arequipa,35-39,83287,104706,21419,25.72,1152303,1382730,20.0
Arequipa,40-44,73498,97507,24009,32.67,1152303,1382730,20.0
Arequipa,45-49,61581,84570,22989,37.33,1152303,1382730,20.0
Arequipa,50-54,52305,73481,21176,40.49,1152303,1382730,20.0
Arequipa,55-59,40878,61864,20986,51.34,1152303,1382730,20.0
Arequipa,60-64,33436,50790,17354,51.9,1152303,1382730,20.0
Arequipa,65-69,26694,39249,12555,47.03,1152303,1382730,20.0
Arequipa,70-74,21316,30209,8893,41.72,1152303,1382730,20.0
Arequipa,75-79,16623,21814,5191,31.23,1152303,1382730,20.0
Arequipa,80-84,10361,15878,5517,53.25,1152303,1382730,20.0
Arequipa,85-89,6235,9195,2960,47.47,1152303,1382730,20.0
Arequipa,90-94,2404,3742,1338,55.66,1152303,1382730,20.0
Ayacucho,0-4,68807,54200,-14607,-21.23,612489,616176,0.6
Ayacucho,5-9,74404,57869,-16535,-22.22,612489,616176,0.6
Ayacucho,10-14,78633,63958,-14675,-18.66,612489,616176,0.6
Ayacucho,15-19,60273,58088,-2185,-3.63,612489,616176,0.6
Ayacucho,20-24,51073,52279,1206,2.36,612489,616176,0.6
Ayacucho,25-29,45226,47014,1788,3.95,612489,616176,0.6
Ayacucho,30-34,40559,44499,3940,9.71,612489,616176,0.6
Ayacucho,35-39,36467,41870,5403,14.82,612489,616176,0.6
Ayacucho,40-44,32401,38113,5712,17.63,612489,616176,0.6
Ayacucho,45-49,25895,32176,6281,24.26,612489,616176,0.6
Ayacucho,50-54,21166,29318,8152,38.51,612489,616176,0.6
Ayacucho,55-59,17845,23534,5689,31.88,612489,616176,0.6
