area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
1,AREA # 01,Amazonas,0-4,23880,23034,46914
1,AREA # 01,Amazonas,10-14,24419,23411,47830
1,AREA # 01,Amazonas,15-19,19994,18117,38111
1,AREA # 01,Amazonas,20-24,15746,15228,30974
1,AREA # 01,Amazonas,25-29,14225,14032,28257
1,AREA # 01,Amazonas,30-34,12810,12190,25000
1,AREA # 01,Amazonas,35-39,12202,11760,23962
1,AREA # 01,Amazonas,40-44,10605,9506,20111
1,AREA # 01,Amazonas,45-49,8477,7730,16207
1,AREA # 01,Amazonas,5-9,24098,23388,47486
1,AREA # 01,Amazonas,50-54,6981,6190,13171
1,AREA # 01,Amazonas,55-59,5185,4575,9760
1,AREA # 01,Amazonas,60-64,4420,4051,8471
1,AREA # 01,Amazonas,65-69,3584,3193,6777
1,AREA # 01,Amazonas,70-74,2600,2565,5165
1,AREA # 01,Amazonas,75-79,1858,1819,3677
1,AREA # 01,Amazonas,80-84,992,1124,2116
1,AREA # 01,Amazonas,85-89,589,707,1296
1,AREA # 01,Amazonas,90-94,159,231,390
1,AREA # 01,Amazonas,95-99,116,202,318
2,AREA # 02,Ancash,0-4,53258,51084,104342
2,AREA # 02,Ancash,10-14,62408,60237,122645
2,AREA # 02,Ancash,15-19,53032,51250,104282
2,AREA # 02,Ancash,20-24,45232,44844,90076
2,AREA # 02,Ancash,25-29,40454,40970,81424
2,AREA # 02,Ancash,30-34,37146,38049,75195
2,AREA # 02,Ancash,35-39,34911,36301,71212
2,AREA # 02,Ancash,40-44,30810,31429,62239
2,AREA # 02,Ancash,45-49,25054,26391,51445
2,AREA # 02,Ancash,5-9,54752,53301,108053
2,AREA # 02,Ancash,50-54,20825,22756,43581
2,AREA # 02,Ancash,55-59,17471,18245,35716
2,AREA # 02,Ancash,60-64,15470,16185,31655
2,AREA # 02,Ancash,65-69,12951,13695,26646
2,AREA # 02,Ancash,70-74,10507,10942,21449
2,AREA # 02,Ancash,75-79,7740,7988,15728
2,AREA # 02,Ancash,80-84,4200,5146,9346
2,AREA # 02,Ancash,85-89,2306,3010,5316
2,AREA # 02,Ancash,90-94,741,1086,1827
2,AREA # 02,Ancash,95-99,440,842,1282
3,AREA # 03,Apurimac,0-4,23770,22809,46579
3,AREA # 03,Apurimac,10-14,29007,27240,56247
3,AREA # 03,Apurimac,15-19,21048,19728,40776
3,AREA # 03,Apurimac,20-24,13928,14853,28781
3,AREA # 03,Apurimac,25-29,12919,13703,26622
3,AREA # 03,Apurimac,30-34,12381,13257,25638
3,AREA # 03,Apurimac,35-39,11950,12486,24436
3,AREA # 03,Apurimac,40-44,10787,10697,21484
3,AREA # 03,Apurimac,45-49,8915,8877,17792
3,AREA # 03,Apurimac,5-9,24818,24040,48858
3,AREA # 03,Apurimac,50-54,6783,7294,14077
3,AREA # 03,Apurimac,55-59,5710,5934,11644
3,AREA # 03,Apurimac,60-64,5101,5851,10952
3,AREA # 03,Apurimac,65-69,4551,5143,9694
3,AREA # 03,Apurimac,70-74,3273,3989,7262
3,AREA # 03,Apurimac,75-79,2739,3079,5818
3,AREA # 03,Apurimac,80-84,1453,2046,3499
3,AREA # 03,Apurimac,85-89,980,1327,2307
3,AREA # 03,Apurimac,90-94,280,462,742
3,AREA # 03,Apurimac,95-99,373,609,982
4,AREA # 04,Arequipa,0-4,49609,47806,97415
4,AREA # 04,Arequipa,10-14,55543,53750,109293
4,AREA # 04,Arequipa,15-19,56088,56367,112455
4,AREA # 04,Arequipa,20-24,54764,55991,110755
4,AREA # 04,Arequipa,25-29,49599,51812,101411
4,AREA # 04,Arequipa,30-34,44679,48320,92999
4,AREA # 04,Arequipa,35-39,39568,43719,83287
4,AREA # 04,Arequipa,40-44,35205,38293,73498
4,AREA # 04,Arequipa,45-49,29583,31998,61581
4,AREA # 04,Arequipa,5-9,50197,47864,98061
4,AREA # 04,Arequipa,50-54,25225,27080,52305
4,AREA # 04,Arequipa,55-59,19903,20975,40878
4,AREA # 04,Arequipa,60-64,16453,16983,33436
4,AREA # 04,Arequipa,65-69,13202,13492,26694
4,AREA # 04,Arequipa,70-74,10490,10826,21316
4,AREA # 04,Arequipa,75-79,8060,8563,16623
4,AREA # 04,Arequipa,80-84,4881,5480,10361
4,AREA # 04,Arequipa,85-89,2790,3445,6235
4,AREA # 04,Arequipa,90-94,1006,1398,2404
4,AREA # 04,Arequipa,95-99,494,802,1296
5,AREA # 05,Ayacucho,0-4,35236,33571,68807
5,AREA # 05,Ayacucho,10-14,40177,38456,78633
5,AREA # 05,Ayacucho,15-19,30791,29482,60273
5,AREA # 05,Ayacucho,20-24,25712,25361,51073
5,AREA # 05,Ayacucho,25-29,22597,22629,45226
5,AREA # 05,Ayacucho,30-34,20078,20481,40559
5,AREA # 05,Ayacucho,35-39,17996,18471,36467
5,AREA # 05,Ayacucho,40-44,15890,16511,32401
5,AREA # 05,Ayacucho,45-49,12654,13241,25895
5,AREA # 05,Ayacucho,5-9,37915,36489,74404
5,AREA # 05,Ayacucho,50-54,9935,11231,21166
5,AREA # 05,Ayacucho,55-59,8561,9284,17845
5,AREA # 05,Ayacucho,60-64,7298,8396,15694
5,AREA # 05,Ayacucho,65-69,6166,7405,13571
5,AREA # 05,Ayacucho,70-74,4832,6030,10862
5,AREA # 05,Ayacucho,75-79,3987,4658,8645
5,AREA # 05,Ayacucho,80-84,2116,3085,5201
5,AREA # 05,Ayacucho,85-89,1349,1940,3289
5,AREA # 05,Ayacucho,90-94,401,727,1128
5,AREA # 05,Ayacucho,95-99,451,899,1350
6,AREA # 06,Cajamarca,0-4,77628,74783,152411
6,AREA # 06,Cajamarca,10-14,90044,85770,175814
6,AREA # 06,Cajamarca,15-19,72131,69288,141419
6,AREA # 06,Cajamarca,20-24,59610,61047,120657
6,AREA # 06,Cajamarca,25-29,51897,54244,106141
6,AREA # 06,Cajamarca,30-34,47208,47927,95135
6,AREA # 06,Cajamarca,35-39,42579,45410,87989
6,AREA # 06,Cajamarca,40-44,36884,37431,74315
6,AREA # 06,Cajamarca,45-49,30625,31811,62436
6,AREA # 06,Cajamarca,5-9,79557,77122,156679
6,AREA # 06,Cajamarca,50-54,24807,25507,50314
6,AREA # 06,Cajamarca,55-59,19400,20337,39737
6,AREA # 06,Cajamarca,60-64,17411,18018,35429
6,AREA # 06,Cajamarca,65-69,14168,14465,28633
6,AREA # 06,Cajamarca,70-74,11468,11756,23224
6,AREA # 06,Cajamarca,75-79,8498,8564,17062
6,AREA # 06,Cajamarca,80-84,4936,5525,10461
6,AREA # 06,Cajamarca,85-89,2894,3355,6249
6,AREA # 06,Cajamarca,90-94,919,1298,2217
6,AREA # 06,Cajamarca,95-99,531,956,1487
7,AREA # 07,Callao,0-4,40660,39289,79949
7,AREA # 07,Callao,10-14,41250,40074,81324
7,AREA # 07,Callao,15-19,39630,40891,80521
7,AREA # 07,Callao,20-24,40309,41681,81990
7,AREA # 07,Callao,25-29,38952,40682,79634
7,AREA # 07,Callao,30-34,36369,38428,74797
7,AREA # 07,Callao,35-39,31346,33352,64698
7,AREA # 07,Callao,40-44,27496,29383,56879
7,AREA # 07,Callao,45-49,22715,25263,47978
7,AREA # 07,Callao,5-9,37638,36370,74008
7,AREA # 07,Callao,50-54,19750,22410,42160
7,AREA # 07,Callao,55-59,15361,16669,32030
7,AREA # 07,Callao,60-64,12100,12777,24877
7,AREA # 07,Callao,65-69,9481,9570,19051
7,AREA # 07,Callao,70-74,7220,7485,14705
7,AREA # 07,Callao,75-79,5234,5534,10768
7,AREA # 07,Callao,80-84,2946,3601,6547
7,AREA # 07,Callao,85-89,1506,1825,3331
7,AREA # 07,Callao,90-94,459,727,1186
7,AREA # 07,Callao,95-99,160,284,444
8,AREA # 08,Cusco,0-4,62589,59982,122571
8,AREA # 08,Cusco,10-14,74146,70455,144601
8,AREA # 08,Cusco,15-19,59938,57270,117208
8,AREA # 08,Cusco,20-24,48718,49814,98532
8,AREA # 08,Cusco,25-29,44189,46000,90189
8,AREA # 08,Cusco,30-34,39641,41370,81011
8,AREA # 08,Cusco,35-39,36650,39071,75721
8,AREA # 08,Cusco,40-44,33900,33878,67778
8,AREA # 08,Cusco,45-49,28382,28041,56423
